Month,naics_description,product_or_service_code_description,total_obligated_amount,recipient_name,funding_sub_agency_name
2016M01,ALL OTHER NONMETALLIC MINERAL MINING,"MINERAL CONSTRUCTION MATERIALS, BULK",3127.5,PRIME ONE GENERAL TRADING & CONTRACTING CO. WLL,DEPT OF THE AIR FORCE
2016M01,ALL OTHER NONMETALLIC MINERAL MINING,"MINERAL CONSTRUCTION MATERIALS, BULK",3968.67,PRIME ONE GENERAL TRADING & CONTRACTING CO. WLL,DEPT OF THE AIR FORCE
2016M01,BITUMINOUS COAL UNDERGROUND MINING,"FUELS, SOLID",351038.45,"DELTA COALS, LLC",DEPT OF THE NAVY
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,"BUILDING COMPONENTS, PREFABRICATED",10341.15,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF AMMUNITION FACILITIES,140539.74,FOREIGN AWARDEES (UNDISCLOSED),"STATE, DEPARTMENT OF"
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF AMMUNITION FACILITIES,143381.65,FOREIGN AWARDEES (UNDISCLOSED),"STATE, DEPARTMENT OF"
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF AMMUNITION STORAGE BUILDINGS,6889.81,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF AMMUNITION STORAGE BUILDINGS,8661.9,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF AMMUNITION STORAGE BUILDINGS,13085.92,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF FAMILY HOUSING FACILITIES,8144.33,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF FAMILY HOUSING FACILITIES,9369.2,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,4232.96,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,5221.52,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,11490.4,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MISCELLANEOUS BUILDINGS,0.0,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MISCELLANEOUS BUILDINGS,6553.41,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MISCELLANEOUS BUILDINGS,151535.0,FOREIGN AWARDEES (UNDISCLOSED),"STATE, DEPARTMENT OF"
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MISCELLANEOUS BUILDINGS,156427.6,FOREIGN AWARDEES (UNDISCLOSED),"STATE, DEPARTMENT OF"
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF OFFICE BUILDINGS,8802.58,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF OFFICE BUILDINGS,43791.8,FOREIGN AWARDEES (UNDISCLOSED),"STATE, DEPARTMENT OF"
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF OFFICE BUILDINGS,44400.0,FOREIGN AWARDEES (UNDISCLOSED),"STATE, DEPARTMENT OF"
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF OFFICE BUILDINGS,87513.6,FOREIGN AWARDEES (UNDISCLOSED),"STATE, DEPARTMENT OF"
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF OFFICE BUILDINGS,87981.14,FOREIGN AWARDEES (UNDISCLOSED),"STATE, DEPARTMENT OF"
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF OFFICE BUILDINGS,108028.35,FOREIGN AWARDEES (UNDISCLOSED),"STATE, DEPARTMENT OF"
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF OFFICE BUILDINGS,181979.0,FOREIGN AWARDEES (UNDISCLOSED),"STATE, DEPARTMENT OF"
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF OFFICE BUILDINGS,193735.0,FOREIGN AWARDEES (UNDISCLOSED),"STATE, DEPARTMENT OF"
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF OFFICE BUILDINGS,246834.0,FOREIGN AWARDEES (UNDISCLOSED),"STATE, DEPARTMENT OF"
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF OTHER UTILITIES,19500.0,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,"MATERIAL HANDLING EQUIPMENT, NONSELF-PROPELLED",6.39,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,"MINERAL CONSTRUCTION MATERIALS, BULK",6066.21,"CORLISS RESOURCES, INC.",NATIONAL PARK SERVICE
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,"MINERAL CONSTRUCTION MATERIALS, BULK",11310.0,"THOMPSON, RICHARD ROY",DEPT OF THE ARMY
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,"MINERAL CONSTRUCTION MATERIALS, BULK",49660.0,ABRAJ BUILDING CONTRACTING LLC,DEPT OF THE ARMY
