Award ID,Start Date,Award Amount,Recipient Name,Description,Contract Award Type,def_codes,Awarding Agency,Awarding Sub Agency,awarding_agency_id,agency_slug,generated_internal_id,Unnamed: 13,Month
15UC0C20D00001857,8/25/2025,50000000,"VETERANS ENVIRONMENTAL GROUP, LLC","SUSTAINING AND MAINTAINING TRAINING LANDS, PROVIDING TRAINING MATERIALS, PROVIDING SEEDLINGS AND REPAIRING EQUIPMENT USED TO COMPLETE THE MISSION OF THIS CONTRACT.",INDEFINITE DELIVERY / REQUIREMENTS,,Department of Justice,Federal Prison Industries / Unicor,252,department-of-justice,CONT_IDV_15UC0C20D00001857_1542,,2025M08
36C10X21D0002,8/3/2021,19167,"CARDINAL HEALTH P.R. 220, LLC",MEDICAL/SURGICAL PRIME VENDOR (MSPV) 2.0 IDIQ AWARD TO PROVIDE DISTRIBUTION AND SUPPLY MANAGEMENT FOR VA MEDICAL CENTERS.,INDEFINITE DELIVERY / INDEFINITE QUANTITY,,Department of Veterans Affairs,Department of Veterans Affairs,561,department-of-veterans-affairs,CONT_IDV_36C10X21D0002_3600,,2021M08
15BRRC21D00000274,3/1/2021,15974.19,"DISMAS CHARITIES, INC","TO PROVIDE RRC SERVICE IN ALBUQUERQUE, NM",INDEFINITE DELIVERY / INDEFINITE QUANTITY,,Department of Justice,Federal Prison System / Bureau of Prisons,252,department-of-justice,CONT_IDV_15BRRC21D00000274_1540,,2021M03
19AQMM21D0011,2/12/2021,10000,TRIPLE CANOPY INC,PROFESSIONAL SECURITY SERVICES CONTRACT WORLDWIDE PROTECTIVE SERVICES (WPS) III MULTIPLE AWARD IDIQ,INDEFINITE DELIVERY / INDEFINITE QUANTITY,,Department of State,Department of State,315,department-of-state,CONT_IDV_19AQMM21D0011_1900,,2021M02
19AQMM21D0010,2/12/2021,10000,SOC LLC,WORLDWIDE PROTECTIVE SERVICES (WPS) III MULTIPLE AWARD IDIQ  PROFESSIONAL SECURITY SERVICES CONTRACT,INDEFINITE DELIVERY / INDEFINITE QUANTITY,,Department of State,Department of State,315,department-of-state,CONT_IDV_19AQMM21D0010_1900,,2021M02
19AQMM21D0009,2/12/2021,10000,JANUS GLOBAL OPERATIONS LLC,PROFESSIONAL SECURITY SERVICES CONTRACT WORLDWIDE PROTECTIVE SERVICES (WPS) III MULTIPLE AWARD IDIQ,INDEFINITE DELIVERY / INDEFINITE QUANTITY,,Department of State,Department of State,315,department-of-state,CONT_IDV_19AQMM21D0009_1900,,2021M02
19AQMM21D0008,2/12/2021,10000,AEGIS DEFENSE SERVICES LLC,WORLDWIDE PROTECTIVE SERVICES (WPS) III MULTIPLE AWARD IDIQ  PROFESSIONAL SECURITY SERVICES CONTRACT,INDEFINITE DELIVERY / INDEFINITE QUANTITY,,Department of State,Department of State,315,department-of-state,CONT_IDV_19AQMM21D0008_1900,,2021M02
47PF0021D0004,2/1/2021,440448.1,PROXY PERSONNEL LLC,"NORTHERN OHIO ADMINISTRATIVE SERVICES, VARIOUS LOCATIONS  (ANTHONY J CELEBREZZE FEDERAL BUILDING CARL B. STOKES US COURTHOUSE HOWARD METZENBAUM US COURTHOUSE, CLEVELAND OH / JOHN R SEIBERLING FEDERAL BUILDING US COURTHOUSE, AKRON OH)",INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],General Services Administration,Public Buildings Service,614,general-services-administration,CONT_IDV_47PF0021D0004_4740,,2021M02
80ARC021D0001,1/31/2021,56397176.75,"MILLENNIUM ENGINEERING AND INTEGRATION SERVICES, LLC",THE PROJECT AND ENGINEERING SUPPORT SERVICES II (PESS II) CONTRACT WILL SUPPORT NASA AMES RESEARCH CENTER (ARC)ALL ADVANCED ENGINEERING CAPABILITIES NEEDED TO SUPPORT THE RESEARCH AND DEVELOPMENT MISSIONS OF THE CENTER.,INDEFINITE DELIVERY / INDEFINITE QUANTITY,"['N', 'Q']",National Aeronautics and Space Administration,National Aeronautics and Space Administration,862,national-aeronautics-and-space-administration,CONT_IDV_80ARC021D0001_8000,,2021M01
03310321D0001,1/1/2021,500,"GARTNER, INC.",FEDLINK - ELECTRONIC SERVICES,INDEFINITE DELIVERY / DEFINITE QUANTITY,,Library of Congress,Library of Congress,,,CONT_IDV_03310321D0001_0300,,2021M01
80JSC021D0001,1/1/2021,9503517.27,UNIVERSITY OF ALABAMA AT BIRMINGHAM,MAINTENANCE AND SUSTAINMENT OF COLD STOWAGE SUITE OF FREEZERS FOR ISS,INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],National Aeronautics and Space Administration,National Aeronautics and Space Administration,862,national-aeronautics-and-space-administration,CONT_IDV_80JSC021D0001_8000,,2021M01
47QSWC21D0001,1/1/2021,422184.8,"DRAEGER, INC.",DRAEGER ANESTHESIA EQUIPMENT REQUIREMENTS CONTRACT,INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],General Services Administration,Federal Acquisition Service,614,general-services-administration,CONT_IDV_47QSWC21D0001_4732,,2021M01
15BNAS21DWNP10714,1/1/2021,4392351.6,"ABBOTT RAPID DX NORTH AMERICA, LLC",COVID TESTING,INDEFINITE DELIVERY / DEFINITE QUANTITY,,Department of Justice,Federal Prison System / Bureau of Prisons,252,department-of-justice,CONT_IDV_15BNAS21DWNP10714_1540,,2021M01
36C24721A0010,1/1/2021,10477.99,"SUBURBAN PROPANE PARTNERS, L.P.",PROPANE GAS SERVICE,BPA,,Department of Veterans Affairs,Department of Veterans Affairs,561,department-of-veterans-affairs,CONT_IDV_36C24721A0010_3600,,2021M01
47PM0821D0002,1/1/2021,1586304.4,"MELWOOD HORTICULTURAL TRAINING CENTER, INC.",CONTRACTOR WILL PROVIDE CUSTODIAL AND PEST MANAGEMENT SERVICES FOR SIX BUILDINGS AT THE FRANCONIA SPRINGFIELD COMPLEX.,INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],General Services Administration,Public Buildings Service,614,general-services-administration,CONT_IDV_47PM0821D0002_4740,,2021M01
47PM0721D0003,1/1/2021,2951850.66,"JIM JAM, INC.",9 MONTH BRIDGE CONTRACT FOR O&M SERVICES AT WJC N&S,INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],General Services Administration,Public Buildings Service,614,general-services-administration,CONT_IDV_47PM0721D0003_4740,,2021M01
75N98021D00002,1/1/2021,3142421.28,"SPRINGER NATURE CUSTOMER SERVICE CENTER, LLC",NIH ACCESS TO SPRINGER NATURE ONLINE RESOURCES BASE YEAR.,INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],Department of Health and Human Services,National Institutes of Health,806,department-of-health-and-human-services,CONT_IDV_75N98021D00002_7529,,2021M01
