internal_id,Award ID,Start Date,Award Amount,Recipient Name,Description,Contract Award Type,def_codes,Awarding Agency,Awarding Sub Agency,Funding Agency,Funding Sub Agency,awarding_agency_id,agency_slug,generated_internal_id
109325572,15UC0C20D00001857,2025-08-25,50000000.0,"VETERANS ENVIRONMENTAL GROUP, LLC","SUSTAINING AND MAINTAINING TRAINING LANDS, PROVIDING TRAINING MATERIALS, PROVIDING SEEDLINGS AND REPAIRING EQUIPMENT USED TO COMPLETE THE MISSION OF THIS CONTRACT.",INDEFINITE DELIVERY / REQUIREMENTS,,Department of Justice,Federal Prison Industries / Unicor,Department of Justice,Federal Prison Industries / Unicor,252,department-of-justice,CONT_IDV_15UC0C20D00001857_1542
111299313,36C10X21D0002,2021-08-03,19167.0,"CARDINAL HEALTH P.R. 220, LLC",MEDICAL/SURGICAL PRIME VENDOR (MSPV) 2.0 IDIQ AWARD TO PROVIDE DISTRIBUTION AND SUPPLY MANAGEMENT FOR VA MEDICAL CENTERS.,INDEFINITE DELIVERY / INDEFINITE QUANTITY,,Department of Veterans Affairs,Department of Veterans Affairs,Department of Veterans Affairs,Department of Veterans Affairs,561,department-of-veterans-affairs,CONT_IDV_36C10X21D0002_3600
69057893,SNG60016D0007,2021-07-10,1.0,MISCELLANEOUS FOREIGN AWARDEES,''IGF::OT::IGF'' HR - LE STAFF MEDICAL PLAN CONTRACT,INDEFINITE DELIVERY / INDEFINITE QUANTITY,,Department of State,Department of State,Department of State,Department of State,315,department-of-state,CONT_IDV_SNG60016D0007_1900
111772330,15BRRC21D00000274,2021-03-01,15974.19,"DISMAS CHARITIES, INC","TO PROVIDE RRC SERVICE IN ALBUQUERQUE, NM",INDEFINITE DELIVERY / INDEFINITE QUANTITY,,Department of Justice,Federal Prison System / Bureau of Prisons,Department of Justice,Federal Prison System / Bureau of Prisons,252,department-of-justice,CONT_IDV_15BRRC21D00000274_1540
116821674,19AQMM21D0011,2021-02-12,10000.0,TRIPLE CANOPY INC,PROFESSIONAL SECURITY SERVICES CONTRACT WORLDWIDE PROTECTIVE SERVICES (WPS) III MULTIPLE AWARD IDIQ,INDEFINITE DELIVERY / INDEFINITE QUANTITY,,Department of State,Department of State,Department of State,Department of State,315,department-of-state,CONT_IDV_19AQMM21D0011_1900
116821673,19AQMM21D0010,2021-02-12,10000.0,SOC LLC,WORLDWIDE PROTECTIVE SERVICES (WPS) III MULTIPLE AWARD IDIQ  PROFESSIONAL SECURITY SERVICES CONTRACT,INDEFINITE DELIVERY / INDEFINITE QUANTITY,,Department of State,Department of State,Department of State,Department of State,315,department-of-state,CONT_IDV_19AQMM21D0010_1900
116821672,19AQMM21D0009,2021-02-12,10000.0,JANUS GLOBAL OPERATIONS LLC,PROFESSIONAL SECURITY SERVICES CONTRACT WORLDWIDE PROTECTIVE SERVICES (WPS) III MULTIPLE AWARD IDIQ,INDEFINITE DELIVERY / INDEFINITE QUANTITY,,Department of State,Department of State,Department of State,Department of State,315,department-of-state,CONT_IDV_19AQMM21D0009_1900
116821671,19AQMM21D0008,2021-02-12,10000.0,AEGIS DEFENSE SERVICES LLC,WORLDWIDE PROTECTIVE SERVICES (WPS) III MULTIPLE AWARD IDIQ  PROFESSIONAL SECURITY SERVICES CONTRACT,INDEFINITE DELIVERY / INDEFINITE QUANTITY,,Department of State,Department of State,Department of State,Department of State,315,department-of-state,CONT_IDV_19AQMM21D0008_1900
116648773,47PF0021D0004,2021-02-01,440448.1,PROXY PERSONNEL LLC,"NORTHERN OHIO ADMINISTRATIVE SERVICES, VARIOUS LOCATIONS  (ANTHONY J CELEBREZZE FEDERAL BUILDING CARL B. STOKES US COURTHOUSE HOWARD METZENBAUM US COURTHOUSE, CLEVELAND OH / JOHN R SEIBERLING FEDERAL BUILDING US COURTHOUSE, AKRON OH)",INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],General Services Administration,Public Buildings Service,General Services Administration,Public Buildings Service,614,general-services-administration,CONT_IDV_47PF0021D0004_4740
116256859,80ARC021D0001,2021-01-31,56397176.75,"MILLENNIUM ENGINEERING AND INTEGRATION SERVICES, LLC",THE PROJECT AND ENGINEERING SUPPORT SERVICES II (PESS II) CONTRACT WILL SUPPORT NASA AMES RESEARCH CENTER (ARC)ALL ADVANCED ENGINEERING CAPABILITIES NEEDED TO SUPPORT THE RESEARCH AND DEVELOPMENT MISSIONS OF THE CENTER.,INDEFINITE DELIVERY / INDEFINITE QUANTITY,"['N', 'Q']",National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,862,national-aeronautics-and-space-administration,CONT_IDV_80ARC021D0001_8000
